TITHI,TITHIEND,TITHI2,TITHIEND,NAKSHATRA,NAKSHATRAEND,NAKSHATRA2,NAKSHATRA2END,YOGA,YOGAEND,YOGA2,YOGA2END,KARANA,KARANAEND,KARANA2,KARANA2END,KARANA3,KARANA3END,
Tithi - Dwadashi ,Full Night,Tithi - None,None,Nakshatra - Dhanishtha ,9:55 PM,Nakshatra - None,None,Yoga - Sadhya ,8:19 PM,Yoga - None,None,Karana - Kaulava ,7:23 PM,Karana - Taitila ,Full Night,Karana - None,None,
Tithi - Dwadashi ,8:38 AM,Tithi - None,None,Nakshatra - Shatabhisha ,12:50 AM,Nakshatra - None,None,Yoga - Shubha ,9:12 PM,Yoga - None,None,Karana - Taitila ,8:38 AM,Karana - Garaja ,9:50 PM,Karana - None,None,
Tithi - Trayodashi ,10:56 AM,Tithi - None,None,Nakshatra - Purva Bhadrapada ,3:25 AM,Nakshatra - None,None,Yoga - Shukla ,9:50 PM,Yoga - None,None,Karana - Vanija ,10:56 AM,Karana - Vishti ,11:57 PM,Karana - None,None,
Tithi - Chaturdashi ,12:51 PM,Tithi - None,None,Nakshatra - Uttara Bhadrapada ,5:37 AM,Nakshatra - None,None,Yoga - Brahma ,10:09 PM,Yoga - None,None,Karana - Shakuni ,12:51 PM,Karana - Chatushpada ,1:39 AM,Karana - None,None,
Tithi - Amavasya ,2:20 PM,Tithi - None,None,Nakshatra - Revati ,Full Night,Nakshatra - None,None,Yoga - Indra ,10:08 PM,Yoga - None,None,Karana - Nagava ,2:20 PM,Karana - Kinstughna ,2:55 AM,Karana - None,None,
Tithi - Pratipada ,3:23 PM,Tithi - None,None,Nakshatra - Revati ,7:23 AM,Nakshatra - None,None,Yoga - Vaidhriti upto0,9:48 PM,Yoga - None,None,Karana - Bava ,3:23 PM,Karana - Balava ,3:45 AM,Karana - None,None,
Tithi - Dwitiya ,4:01 PM,Tithi - None,None,Nakshatra - Ashwini ,8:45 AM,Nakshatra - None,None,Yoga - Vishkambha ,9:09 PM,Yoga - None,None,Karana - Kaulava ,4:01 PM,"Karana - Taitila """,4:11 AM,Karana - None,None,
Tithi - Tritiya ,4:16 PM,Tithi - None,None,Nakshatra - Bharani ,9:44 AM,Nakshatra - None,None,Yoga - Priti ,08:12PM,Yoga - None,None,Karana - Garaja ,4:16 PM,Karana - Vanija ,4:14 AM,Karana - None,None,
Tithi - Chaturthi ,4:07 PM,Tithi - None,None,Nakshatra - Krittika ,10:20 AM,Nakshatra - None,None,Yoga - Ayushman ,6:57 PM,Yoga - None,None,Karana - Vishti ,4:07 PM,"Karana - Bava """,3:54 AM,Karana - None,None,
Tithi - Panchami ,3:36 PM,Tithi - None,None,Nakshatra - Rohini ,10:34 AM,Nakshatra - None,None,Yoga - Saubhagya ,5:25 PM,Yoga - None,None,Karana - Balava ,3:36 PM,Karana - Kaulava ,3:12 AM,Karana - None,None,
Tithi - Shashthi ,2:42 PM,Tithi - None,None,Nakshatra - Mrigashirsha ,10:26 AM,Nakshatra - None,None,Yoga - Shobhana ,3:34 PM,Yoga - None,None,Karana - Taitila ,2:42 PM,Karana - Garaja ,2:06 AM,Karana - None,None,
Tithi - Saptami ,1:24 PM,Tithi - None,None,Nakshatra - Ardra ,9:55 AM,Nakshatra - None,None,Yoga - Atiganda ,1:24 PM,Yoga - None,None,Karana - Vanija ,1:24 PM,"Karana - Vishti """,12:35AM,Karana - None,None,
Tithi - Ashtami ,11:41 AM,Tithi - None,None,Nakshatra - Punarvasu ,8:59 AM,Nakshatra - None,None,Yoga - Sukarman ,10:55 AM,Yoga - None,None,Karana - Bava ,11:41 AM,Karana - Balava ,10:41 PM,Karana - None,None,
Tithi - Navami ,9:36 AM,Tithi - None,None,Nakshatra - Pushya ,7:41 AM,Nakshatra - Ashlesha ,6:00 AM,Yoga - Dhriti ,8:07 AM,Yoga - Shula ,5:01 AM,Karana - Kaulava ,9:36 AM,Karana - Taitila upto0,8:24 PM,Karana - None,None,
Tithi - Dashami ,7:08 AM,Tithi - Ekadashi ,4:23 AM,Nakshatra - Magha ,4:02 AM,Nakshatra - None,None,Yoga - Ganda ,1:40 AM,Yoga - None,None,Karana - Garaja ,7:08 AM,Karana - Vanija ,5:47 PM,Karana - Vishti,4:23 AM,
Tithi - Dwadashi ,1:26 AM,Tithi - None,None,Nakshatra - Purva Phalguni ,1:51 AM,Nakshatra - None,None,Yoga - Vriddhi ,10:09 PM,Yoga - None,None,Karana - Bava ,2:55 PM,Karana - Balava ,1:26 AM,Karana - None,None,
Tithi - Trayodashi ,10:24 PM,Tithi - None,None,Nakshatra - Uttara Phalguni ,11:36 PM,Nakshatra - None,None,Yoga - Dhruva ,6:33 PM,Yoga - None,None,Karana - Kaulava ,11:55 AM,Karana - Taitila ,10:24 PM,Karana - None,None,
Tithi - Chaturdashi ,7:26 PM,Tithi - None,None,Nakshatra - Hasta ,9:26 PM,Nakshatra - None,None,Yoga - Vyaghata ,2:58 PM,Yoga - None,None,Karana - Garaja ,8:54 AM,Karana - Vanija ,7:26 PM,Karana - Vishti ,6:02 AM,
Tithi - Purnima ,4:42 PM,Tithi - None,None,Nakshatra - Chitra ,7:30 PM,Nakshatra - None,None,Yoga - Harshana upto1,1:34 AM,Yoga - None,None,Karana - Bava ,4:42 PM,Karana - Balava ,3:28 AM,Karana - None,None,
Tithi - Pratipada ,2:21 PM,Tithi - None,None,Nakshatra - Swati ,5:59 PM,Nakshatra - None,None,Yoga - Vajra ,8:26 AM,Yoga - Siddhi ,5:44 AM,Karana - Kaulava ,02:21PM,Karana - Taitila ,1:22 AM,Karana - None,None,
Tithi - Dwitiya ,12:32 PM,Tithi - None,None,Nakshatra - Vishakha ,5:02 PM,Nakshatra - None,None,Yoga - Vyatipata ,3:33 AM,Yoga - None,None,Karana - Garaja ,12:32 PM,Karana - Vanija ,11:53 PM,Karana - None,None,
Tithi - Tritiya ,11:25 AM,Tithi - None,None,Nakshatra - Anuradha ,4:46 PM,Nakshatra - None,None,Yoga - Varigha upto,1:57 AM,Yoga - None,None,Karana - Vishti ,11:25 AM,Karana - Bava ,11:08 PM,Karana - None,None,
Tithi - Chaturthi ,11:04 AM,Tithi - None,None,Nakshatra - Jyeshtha ,5:17 PM,Nakshatra - None,None,Yoga - Parigha,1:00 AM,Yoga - None,None,Karana - Balava ,11:04 AM,Karana - Kaulava ,11:12 PM,Karana - None,None,
Tithi - Panchami ,11:32 AM,Tithi - None,None,Nakshatra - Mula ,6:36 PM,Nakshatra - None,None,Yoga - Shiva ,12:41 AM,Yoga - None,None,Karana - Taitila ,11:32 AM,"Karana - Garaja """,12:04AM,Karana - None,None,
Tithi - Shashthi ,12:46 PM,Tithi - None,None,Nakshatra - Purva Ashadha ,8:38 PM,Nakshatra - None,None,Yoga - Siddha ,12:56 AM,Yoga - None,None,Karana - Vanija ,12:46 PM,Karana - Vishti ,1:39 AM,Karana - None,None,
Tithi - Saptami ,2:40 PM,Tithi - None,None,Nakshatra - Uttara Ashadha ,11:15 PM,Nakshatra - None,None,Yoga - Sadhya ,1:36 AM,Yoga - None,None,Karana - Bava ,2:40 PM,Karana - Balava ,3:48 AM,Karana - None,None,
Tithi - Ashtami ,5:01 PM,Tithi - None,None,Nakshatra - Shravana ,2:13 AM,Nakshatra - None,None,Yoga - Shubha ,2:32 AM,Yoga - None,None,Karana - Kaulava ,5:01 PM,Karana - Taitila ,Full Night,Karana - None,None,
Tithi - Navami ,7:34 PM,Tithi - None,None,Nakshatra - Dhanishtha ,5:19 AM,Nakshatra - None,None,Yoga - Shukla ,3:34 AM,Yoga - None,None,Karana - Taitila ,6:17 AM,Karana - Garaja ,7:34 PM,Karana - None,None,
Tithi - Dashami ,10:04 PM,Tithi - None,None,Nakshatra - Shatabhisha ,Full Night,Nakshatra - None,None,Yoga - Brahma ,4:30 AM,Yoga - None,None,Karana - Vanija ,8:50 AM,Karana - Vishti ,10:04 PM,Karana - None,None,
Tithi - Ekadashi ,12:18 AM,Tithi - None,None,Nakshatra - Shatabhisha ,8:16 AM,Nakshatra - None,None,Yoga - Indra ,5:11 AM,Yoga - None,None,Karana - Bava ,11:14 AM,Karana - Balava ,12:18 AM,Karana - None,None,
Tithi - Dwadashi ,2:05 AM,Tithi - None,None,Nakshatra - Purva Bhadrapada ,10:53 AM,Nakshatra - None,None,Yoga - Vaidhriti ,5:32 AM,Yoga - None,None,Karana - Kaulava ,1:15 PM,Karana - Taitila ,2:05 AM,Karana - None,None,
Tithi - Trayodashi ,3:21 AM,Tithi - None,None,Nakshatra - Uttara Bhadrapada upto0,1:03 PM,Nakshatra - None,None,Yoga - Vishkambha ,5:28 AM,Yoga - None,None,Karana - Garaja ,2:47 PM,Karana - Vanija ,3:21 AM,Karana - None,None,
Tithi - Chaturdashi ,4:04 AM,Tithi - None,None,Nakshatra - Revati ,2:41 PM,Nakshatra - None,None,Yoga - Priti ,4:59 AM,Yoga - None,None,Karana - Vishti ,3:46 PM,Karana - Shakuni ,4:04 AM,Karana - None,None,
Tithi - Amavasya ,4:15 AM,Tithi - None,None,Nakshatra - Ashwini ,3:48 PM,Nakshatra - None,None,Yoga - Ayushman ,4:05 AM,Yoga - None,None,Karana - Chatushpada ,4:13 PM,Karana - Nagava ,4:15 AM,Karana - None,None,
Tithi - Pratipada ,3:59 AM,Tithi - None,None,Nakshatra - Bharani ,4:25 PM,Nakshatra - None,None,Yoga - Saubhagya ,2:50 AM,Yoga - None,None,Karana - Kinstughna ,4:10 PM,Karana - Bava ,3:59 AM,Karana - None,None,
Tithi - Dwitiya ,3:18 AM,Tithi - None,None,Nakshatra - Krittika ,4:37 PM,Nakshatra - None,None,Yoga - Shobhana ,1:15 AM,Yoga - None,None,Karana - Balava ,3:41 PM,Karana - Kaulava ,3:18 AM,Karana - None,None,
Tithi - Tritiya ,2:17 AM,Tithi - None,None,Nakshatra - Rohini ,4:28 PM,Nakshatra - None,None,Yoga - Atiganda ,11:24 PM,Yoga - None,None,Karana - Taitila ,2:50 PM,Karana - Garaja ,2:17 AM,Karana - None,None,
Tithi - Chaturthi ,12:59 AM,Tithi - None,None,Nakshatra - Mrigashirsha ,4:01 PM,Nakshatra - None,None,Yoga - Sukarman ,9:19 PM,Yoga - None,None,Karana - Vanija ,1:40 PM,Karana - Vishti ,12:59 AM,Karana - None,None,
Tithi - Panchami ,11:27 PM,Tithi - None,None,Nakshatra - Ardra ,3:18 PM,Nakshatra - None,None,Yoga - Dhriti ,7:02 PM,Yoga - None,None,Karana - Bava ,12:15 PM,Karana - Balava ,11:27 PM,Karana - None,None,
Tithi - Shashthi ,9:41 PM,Tithi - None,None,Nakshatra - Punarvasu ,2:22 PM,Nakshatra - None,None,Yoga - Shula ,4:34 PM,Yoga - None,None,Karana - Kaulava ,10:36 AM,Karana - Taitila ,9:41 PM,Karana - None,None,
Tithi - Saptami ,7:44 PM,Tithi - None,None,Nakshatra - Pushya ,1:14 PM,Nakshatra - None,None,Yoga - Ganda ,1:57 PM,Yoga - None,None,Karana - Garaja ,8:44 AM,Karana - Vanija ,7:44 PM,Karana - None,None,
Tithi - Ashtami ,5:37 PM,Tithi - None,None,Nakshatra - Ashlesha ,11:55 AM,Nakshatra - None,None,Yoga - Vriddhi ,11:11 AM,Yoga - None,None,Karana - Vishti ,6:42 AM,Karana - Bava ,5:37 PM,Karana - Balava ,4:30 AM,
Tithi - Navami ,3:21 PM,Tithi - None,None,Nakshatra - Magha ,10:28 AM,Nakshatra - None,None,Yoga - Dhruva,8:18 AM,Yoga - Vyaghata ,5:19 AM,Karana - Kaulava ,3:21 PM,Karana - Taitila ,2:11 AM,Karana - None,None,
Tithi - Dashami ,12:59 PM,Tithi - None,None,Nakshatra - Purva Phalguni ,8:54 AM,Nakshatra - None,None,Yoga - Harshana ,2:18 AM,Yoga - None,None,Karana - Garaja ,12:59 PM,Karana - Vanija ,11:47 PM,Karana - None,None,
Tithi - Ekadashi ,10:36 AM,Tithi - None,None,Nakshatra - Uttara Phalguni ,7:17 AM,Nakshatra - Hasta ,5:43 AM,Yoga - Vajra ,11:17 PM,Yoga - None,None,Karana - Vishti ,10:36 AM,Karana - Bava ,9:25 PM,Karana - None,None,
Tithi - Dwadashi ,8:15 AM,Tithi - Trayodashi ,6:05 AM,Nakshatra - Chitra ,4:17 AM,Nakshatra - None,None,Yoga - Siddhi ,8:22 PM,Yoga - None,None,Karana - Balava ,8:15 AM,Karana - Kaulava ,7:08 PM,Karana - Taitila ,6:05 AM,
Tithi - Chaturdashi ,4:11 AM,Tithi - None,None,Nakshatra - Swati ,3:08 AM,Nakshatra - None,None,Yoga - Vyatipata ,5:39 PM,Yoga - None,None,Karana - Garaja ,5:05 PM,Karana - Vanija ,4:11 AM,Karana - None,None,
Tithi - Purnima ,2:41 AM,Tithi - None,None,Nakshatra - Vishakha ,2:23 AM,Nakshatra - None,None,Yoga - Varigha ,3:12 PM,Yoga - None,None,Karana - Vishti ,3:23 PM,Karana - Bava ,2:41 AM,Karana - None,None,
Tithi - Pratipada ,1:43 AM,Tithi - None,None,Nakshatra - Anuradha ,2:08 AM,Nakshatra - None,None,Yoga - Parigha ,1:08 PM,Yoga - None,None,Karana - Balava ,2:08 PM,Karana - Kaulava ,1:43 AM,Karana - None,None,
Tithi - Dwitiya ,1:21 AM,Tithi - None,None,Nakshatra - Jyeshtha ,2:30 AM,Nakshatra - None,None,Yoga - Shiva ,11:31 AM,Yoga - None,None,Karana - Taitila ,1:27 PM,Karana - Garaja ,1:21 AM,Karana - None,None,
Tithi - Tritiya ,1:40 AM,Tithi - None,None,Nakshatra - Mula ,3:32 AM,Nakshatra - None,None,Yoga - Siddha ,10:25 AM,Yoga - None,None,Karana - Vanija ,1:25 PM,Karana - Vishti,1:40 AM,Karana - None,None,
Tithi - Chaturthi ,2:41 AM,Tithi - None,None,Nakshatra - Purva Ashadha ,5:14 AM,Nakshatra - None,None,Yoga - Sadhya ,9:52 AM,Yoga - None,None,Karana - Bava ,2:05 PM,Karana -Balava ,2:41 AM,Karana - None,None,
Tithi - Panchami ,4:18 AM,Tithi - None,None,Nakshatra - Uttara Ashadha ,Full Night,Nakshatra - None,None,Yoga - Shubha ,9:50 AM,Yoga - None,None,Karana - Kaulava ,3:25 PM,Karana - Taitila ,4:18 AM,Karana - None,None,
Tithi - Shashthi ,Full Night,Tithi - None,None,Nakshatra - Uttara Ashadha ,7:31 AM,Nakshatra - None,None,Yoga - Shukla ,10:16 AM,Yoga - None,None,Karana - Garaja ,5:19 PM,Karana - Vanija ,Full Night,Karana - None,None,
Tithi - Shashthi ,6:25 AM,Tithi - None,None,Nakshatra - Shravana ,10:16 AM,Nakshatra - None,None,Yoga - Brahma ,11:03 AM,Yoga - None,None,Karana - Vanija ,6:25 AM,Karana - Vishti ,7:36 PM,Karana - None,None,
Tithi - Saptami ,8:49 AM,Tithi - None,None,Nakshatra - Dhanishtha ,1:15 PM,Nakshatra - None,None,Yoga - Indra ,12:00 PM,Yoga - None,None,Karana - Bava ,8:49 AM,Karana - Balava ,10:03 PM,Karana - None,None,
Tithi - Ashtami ,11:16 AM,Tithi - None,None,Nakshatra - Shatabhisha ,4:14 PM,Nakshatra - None,None,Yoga - Vaidhriti ,12:59 PM,Yoga - None,None,Karana - Kaulava ,11:16 AM,Karana - Taitila,12:26 AM,Karana - None,None,
Tithi - Navami ,1:31 PM,Tithi - None,None,Nakshatra - Purva Bhadrapada ,6:59 PM,Nakshatra - None,None,Yoga - Vishkambha ,1:47 PM,Yoga - None,None,Karana - Garaja ,1:31 PM,Karana - Vanija ,2:30 AM,Karana - None,None,
Tithi - Dashami ,3:21 PM,Tithi - None,None,Nakshatra - Uttara Bhadrapada ,9:19 PM,Nakshatra - None,None,Yoga - Priti ,2:17 PM,Yoga - None,None,Karana - Vishti ,3:21 PM,Karana - Bava ,4:04 AM,Karana - None,None,
Tithi - Ekadashi ,4:38 PM,Tithi - None,None,Nakshatra - Revati ,11:04 PM,Nakshatra - None,None,Yoga - Ayushman ,2:22 PM,Yoga - None,None,Karana - Balava ,4:38 PM,Karana - Kaulava ,5:02 AM,Karana - None,None,
Tithi - Dwadashi ,5:17 PM,Tithi - None,None,Nakshatra - Ashwini ,12:13 AM,Nakshatra - None,None,Yoga - Saubhagya ,1:56 PM,Yoga - None,None,Karana - Taitila ,5:17 PM,Karana -Garaja ,5:21 AM,Karana - None,None,
Tithi - Trayodashi ,5:16 PM,Tithi - None,None,Nakshatra - Bharani ,12:43 AM,Nakshatra - None,None,Yoga - Shobhana ,1:01 PM,Yoga - None,None,Karana - Vanija ,5:16 PM,Karana - Vishti ,5:02 AM,Karana - None,None,
Tithi - Chaturdashi ,4:40 PM,Tithi - None,None,Nakshatra - Krittika ,12:40 AM,Nakshatra - None,None,Yoga - Atiganda ,11:36 AM,Yoga - None,None,Karana - Shakuni ,4:40 PM,Karana - Chatushpada ,4:09 AM,Karana - None,None,
Tithi - Amavasya ,3:32 PM,Tithi - None,None,Nakshatra - Rohini ,12:06 AM,Nakshatra - None,None,Yoga - Sukarman ,9:45 AM,Yoga - None,None,Karana - Nagava ,3:32 PM,Karana - Kinstughna,2:47 AM,Karana - None,None,
Tithi - Pratipada ,1:57 PM,Tithi - None,None,Nakshatra - Mrigashirsha ,11:09 PM,Nakshatra - None,None,Yoga - Dhriti ,7:31 AM,Yoga - Shula ,5:00 AM,Karana - Bava ,1:57 PM,Karana - Balava ,1:02 AM,Karana - None,None,
Tithi - Dwitiya ,12:03 PM,Tithi - None,None,Nakshatra - Ardra ,9:55 PM,Nakshatra - None,None,Yoga - Ganda ,2:16 AM,Yoga - None,None,Karana - Kaulava ,12:03 PM,Karana - Taitila ,11:01PM,Karana - None,None,
Tithi - Tritiya ,9:55 AM,Tithi - None,None,Nakshatra - Punarvasu ,8:29 PM,Nakshatra - None,None,Yoga - Vriddhi upto1,1:23 PM,Yoga - None,None,Karana - Garaja ,9:55 AM,Karana - Vanija ,8:47 PM,Karana - None,None,
Tithi - Chaturthi ,7:38 AM,Tithi - Panchami ,5:17 AM,Nakshatra - Pushya ,6:57 PM,Nakshatra - None,None,Yoga - Dhruva ,8:26 PM,Yoga - None,None,Karana - Vishti ,7:38 AM,Karana - Bava ,6:27 PM,Karana - Balava ,5:17 AM,
Tithi - Shashthi ,2:55 AM,Tithi - None,None,Nakshatra - Ashlesha ,5:23 PM,Nakshatra - None,None,Yoga - Vyaghata ,5:27 PM,Yoga - None,None,Karana - Kaulava ,4:06 PM,Karana - Taitila ,2:55 AM,Karana - None,None,
Tithi - Saptami ,12:36 AM,Tithi - None,None,Nakshatra - Magha ,3:50 PM,Nakshatra - None,None,Yoga - Harshana ,2:29 PM,Yoga - None,None,Karana - Garaja ,1:45 PM,Karana - Vanija ,12:36 AM,Karana - None,None,
Tithi - Ashtami ,10:24 PM,Tithi - None,None,Nakshatra - Purva Phalguni ,2:22 PM,Nakshatra - None,None,Yoga - Vajra ,11:35 AM,Yoga - None,None,Karana - Vishti ,11:29 AM,Karana - Bava ,10:24 PM,Karana - None,None,
Tithi - Navami ,8:19 PM,Tithi - None,None,Nakshatra - Uttara Phalguni ,1:01 PM,Nakshatra - None,None,Yoga - Siddhi ,8:48 AM,Yoga - None,None,Karana - Balava ,9:20 AM,Karana - Kaulava,8:19 PM,Karana - None,None,
Tithi - Dashami ,6:27 PM,Tithi - None,None,Nakshatra - Hasta ,11:52 AM,Nakshatra - None,None,Yoga - Vyatipata ,6:08 AM,Yoga - Varigha ,3:39 AM,Karana - Taitila,7:22 AM,Karana - Garaja ,6:27 PM,Karana - Vanija ,5:36 AM,
Tithi - Ekadashi ,4:49 PM,Tithi - None,None,Nakshatra - Chitra ,10:56 AM,Nakshatra - None,None,Yoga - Parigha ,1:24 AM,Yoga - None,None,Karana - Vishti ,4:49 PM,Karana - Bava ,4:07 AM,Karana - None,None,
Tithi - Dwadashi ,3:30 PM,Tithi - None,None,Nakshatra - Swati ,10:18 AM,Nakshatra - None,None,Yoga - Shiva ,11:25 PM,Yoga - None,None,Karana - Balava ,3:30 PM,Karana - Kaulava ,2:59 AM,Karana - None,None,
Tithi - Trayodashi ,2:33 PM,Tithi - None,None,Nakshatra - Vishakha ,10:00 AM,Nakshatra - None,None,Yoga - Siddha ,9:44 PM,Yoga - None,None,Karana - Taitila ,2:33 PM,"Karana - Garaja upto0""",2:14 AM,Karana - None,None,
Tithi - Chaturdashi ,2:02 PM,Tithi - None,None,Nakshatra - Anuradha ,10:08 AM,Nakshatra - None,None,Yoga - Sadhya ,8:25 PM,Yoga - None,None,Karana - Vanija ,2:02 PM,Karana - Vishti ,1:57 AM,Karana - None,None,
Tithi - Purnima ,2:00 PM,Tithi - None,None,Nakshatra - Jyeshtha ,10:44 AM,Nakshatra - None,None,Yoga - Shubha upto0,7:31 PM,Yoga - None,None,Karana - Bava ,2:00 PM,Karana - Balava ,2:11 AM,Karana - None,None,
Tithi - Pratipada ,2:31 PM,Tithi - None,None,Nakshatra - Mula ,11:51 AM,Nakshatra - None,None,Yoga - Shukla ,7:02 PM,Yoga - None,None,Karana - Kaulava ,2:31 PM,"Karana - Taitila """,2:58 AM,Karana - None,None,
Tithi - Dwitiya ,3:34 PM,Tithi - None,None,Nakshatra - Purva Ashadha ,1:30 PM,Nakshatra - None,None,Yoga - Brahma ,6:58 PM,Yoga - None,None,Karana - Garaja ,3:34 PM,Karana - Vanija ,4:17 AM,Karana - None,None,
Tithi - Tritiya ,5:08 PM,Tithi - None,None,Nakshatra - Uttara Ashadha ,3:40 PM,Nakshatra - None,None,Yoga - Indra ,7:19 PM,Yoga - None,None,Karana - Vishti ,5:08 PM,"Karana - Bava """,6:05 AM,Karana - None,None,
Tithi - Chaturthi ,7:08 PM,Tithi - None,None,Nakshatra - Shravana ,6:15 PM,Nakshatra - None,None,Yoga - Vaidhriti,7:59 PM,Yoga - None,None,Karana - Balava ,7:08 PM,Karana - Kaulava ,Full Night,Karana - None,None,
Tithi - Panchami ,9:27 PM,Tithi - None,None,Nakshatra - Dhanishtha ,9:08 PM,Nakshatra - None,None,Yoga - Vishkambha ,8:53 PM,Yoga - None,None,Karana - Kaulava ,8:16 AM,Karana - Taitila ,9:27 PM,Karana - None,None,
Tithi - Shashthi ,11:53 PM,Tithi - None,None,Nakshatra - Shatabhisha ,12:08 AM,Nakshatra - None,None,Yoga - Priti ,9:52 PM,Yoga - None,None,Karana - Garaja ,10:40 AM,Karana - Vanija ,11:53 PM,Karana - None,None,
Tithi - Saptami ,2:13 AM,Tithi - None,None,Nakshatra - Purva Bhadrapada ,3:03 AM,Nakshatra - None,None,Yoga - Ayushman ,10:48 PM,Yoga - None,None,Karana - Vishti ,1:04 PM,Karana - Bava ,2:13 AM,Karana - None,None,
Tithi - Ashtami ,4:13 AM,Tithi - None,None,Nakshatra - Uttara Bhadrapada ,5:38 AM,Nakshatra - None,None,Yoga - Saubhagya ,11:30 PM,Yoga - None,None,Karana - Balava ,3:16 PM,Karana - Kaulava ,4:13 AM,Karana - None,None,
Tithi - Navami ,5:44 AM,Tithi - None,None,Nakshatra - Revati ,Full Night,Nakshatra - None,None,Yoga - Shobhana ,11:51 PM,Yoga - None,None,Karana - Taitila ,5:03 PM,Karana - Garaja ,5:44 AM,Karana - None,None,
Tithi - Dashami ,Full Night,Tithi - None,None,Nakshatra - Revati ,7:44 AM,Nakshatra - None,None,Yoga - Atiganda ,11:43 PM,Yoga - None,None,Karana - Vanija ,6:15 PM,Karana - Vishti ,Full Night,Karana - None,None,
Tithi - Dashami ,6:36 AM,Tithi - None,None,Nakshatra - Ashwini ,9:12 AM,Nakshatra - None,None,Yoga - Sukarman ,11:02 PM,Yoga - None,None,Karana - Vishti ,6:36 AM,Karana - Bava ,6:46 PM,Karana - None,None,
Tithi - Ekadashi ,6:45 AM,Tithi - None,None,Nakshatra - Bharani ,9:58 AM,Nakshatra - None,None,Yoga - Dhriti ,9:46 PM,Yoga - None,None,Karana - Balava ,6:45 AM,Karana - Kaulava ,6:34 PM,Karana - None,None,
Tithi - Dwadashi ,6:11 AM,Tithi - Trayodashi ,4:56 AM,Nakshatra - Krittika ,10:02 AM,Nakshatra - None,None,Yoga - Shula ,7:57 PM,Yoga - None,None,Karana - Taitila ,6:11 AM,Karana - Garaja ,5:39 PM,Karana - Vanija ,4:56 AM,
