TITHI,TITHIEND,TITHI2,TITHIEND,NAKSHATRA,NAKSHATRAEND,NAKSHATRA2,NAKSHATRA2END,YOGA,YOGAEND,YOGA2,YOGA2END,KARANA,KARANAEND,KARANA2,KARANA2END,KARANA3,KARANA3END,
Tithi - Dwitiya ,4:49 PM,Tithi - None,None,Nakshatra - Chitra ,4:30 PM,Nakshatra - None,None,Yoga - Indra ,12:10 PM,Yoga - None,None,Karana - Kaulava ,4:49 PM,Karana - Taitila ,3:18 AM,Karana - None,None,
Tithi - Tritiya ,1:55 PM,Tithi - None,None,Nakshatra - Swati ,2:22 PM,Nakshatra - None,None,Yoga - Vaidhriti ,8:33 AM,Yoga - Vishkambha ,5:25 AM,Karana - Garaja ,1:55 PM,Karana - Vanija ,12:42 AM,,,
Tithi - Chaturthi ,11:40 AM,Tithi - None,None,Nakshatra - Vishakha ,12:53 PM,Nakshatra - None,None,Yoga - Priti ,2:55 AM,Yoga - None,None,Karana - Vishti ,11:40 AM,Karana - Bava ,10:49 PM,Karana - None,None,
Tithi - Panchami ,10:12 AM,Tithi - None,None,Nakshatra - Anuradha ,12:11 PM,Nakshatra - None,None,Yoga - Ayushman ,1:04 AM,Yoga - None,None,Karana - Balava ,10:12 AM,Karana - Kaulava ,9:47 PM,Karana - None,None,
Tithi - Shashthi ,9:35 AM,Tithi - None,None,Nakshatra - Jyeshtha ,12:20 PM,Nakshatra - None,None,Yoga - Saubhagya ,11:56 PM,Yoga - None,None,Karana - Taitila ,9:35 AM,Karana - Garaja ,9:37 PM,Karana - None,None,
Tithi - Saptami ,9:51 AM,Tithi - None,None,Nakshatra - Mula ,1:20 PM,Nakshatra - None,None,Yoga - Shobhana ,11:26 PM,Yoga - None,None,Karana - Vanija ,9:51 AM,Karana - Vishti ,10:17 PM,Karana - None,None,
Tithi - Ashtami ,10:54 AM,Tithi - None,None,Nakshatra - Purva Ashadha ,3:05 PM,Nakshatra - None,None,Yoga - Atiganda ,11:29 PM,Yoga - None,None,Karana - Bava ,10:54 AM,Karana - Balava ,11:42 PM,Karana - None,None,
Tithi - Navami ,12:38 PM,Tithi - None,None,Nakshatra - Uttara Ashadha ,5:26 PM,Nakshatra - None,None,Yoga - Sukarman ,12:00 PM,Yoga - None,None,Karana - Kaulava ,12:38 PM,Karana - Taitila ,1:41 AM,Karana - None,None,
Tithi - Dashami ,2:50 PM,Tithi - None,None,Nakshatra - Shravana ,8:13 PM,Nakshatra - None,None,Yoga - Dhriti ,12:47 AM,Yoga - None,None,Karana - Garaja ,2:50 PM,Karana - Vanija,4:03 AM,Karana - None,None,
Tithi - Ekadashi ,5:19 PM,Tithi - None,None,Nakshatra - Dhanishtha ,11:13 PM,Nakshatra - None,None,Yoga - Shula ,1:43 AM,Yoga - None,None,Karana - Vishti ,5:19 PM,Karana - Bava ,Full Night,Karana - None,None,
Tithi - Dwadashi ,7:52 PM,Tithi - None,None,Nakshatra - Shatabhisha ,2:15 AM,Nakshatra - None,None,Yoga - Ganda ,2:40 AM,Yoga - None,None,Karana - Bava ,6:35 AM,Karana -Balava ,7:52 PM,Karana - None,None,
Tithi - Trayodashi ,10:20 PM,Tithi - None,None,Nakshatra - Purva Bhadrapada ,5:10 AM,Nakshatra - None,None,Yoga - Vriddhi ,3:32 AM,Yoga - None,None,Karana - Kaulava ,9:07 AM,Karana - Taitila ,10:20 PM,Karana - None,None,
Tithi - Chaturdashi ,12:36 AM,Tithi - None,None,Nakshatra - Uttara Bhadrapada ,Full Night,Nakshatra - None,None,Yoga - Dhruva ,4:14 AM,Yoga - None,None,Karana - Garaja ,11:30 AM,Karana - Vanija ,12:36 AM,Karana - None,None,
Tithi - Purnima ,2:38 AM,Tithi - None,None,Nakshatra - Uttara Bhadrapada ,7:54 AM,Nakshatra - None,None,Yoga - Vyaghata ,4:44 AM,Yoga - None,None,Karana - Vishti ,1:39 PM,Karana - Bava ,2:38 AM,Karana - None,None,
Tithi - Pratipada ,4:21 AM,Tithi - None,None,Nakshatra - Revati ,10:21 AM,Nakshatra - None,None,Yoga - Harshana ,5:00 AM,Yoga - None,None,Karana - Balava ,3:32 PM,Karana - Kaulava ,4:21 AM,Karana - None,None,
Tithi - Dwitiya ,5:45 AM,Tithi - None,None,Nakshatra - Ashwini ,12:31 PM,Nakshatra - None,None,Yoga - Vajra ,5:02 AM,Yoga - None,None,Karana - Taitila ,5:05 PM,Karana - Garaja,5:45 AM,Karana - None,None,
Tithi - Tritiya ,Full Night,Tithi - None,None,Nakshatra - Bharani ,2:22 PM,Nakshatra - None,None,Yoga - Siddhi ,4:48 AM,Yoga - None,None,Karana - Vanija ,6:19 PM,Karana - Vishti ,Full Night,Karana - None,None,
Tithi - Tritiya ,6:48 AM,Tithi - None,None,Nakshatra - Krittika ,3:53 PM,Nakshatra - None,None,"Yoga - Vyatipata upto0""",4:16 AM,Yoga - None,None,Karana - Vishti ,6:48 AM,Karana - Bava ,7:12 PM,Karana - None,None,
Tithi - Chaturthi ,7:29 AM,Tithi - None,None,Nakshatra - Rohini ,5:00 PM,Nakshatra - None,None,"Yoga - Varigha upto0""",3:24 AM,Yoga - None,None,Karana - Balava ,7:29 AM,Karana - Kaulava ,7:40 PM,Karana - None,None,
Tithi - Panchami ,7:44 AM,Tithi - None,None,Nakshatra - Mrigashirsha ,5:41 PM,Nakshatra - None,None,Yoga - Parigha ,2:11 AM,Yoga - None,None,Karana - Taitila ,7:44 AM,Karana - Garaja ,7:41 PM,Karana - None,None,
Tithi - Shashthi ,7:30 AM,Tithi - None,None,Nakshatra - Ardra ,5:53 PM,Nakshatra - None,None,"Yoga - Shiva """,12:33AM,Yoga - None,None,Karana - Vanija ,7:30 AM,Karana - Vishti ,7:11 PM,Karana - None,None,
Tithi - Saptami ,6:44 AM,Tithi - Ashtami ,5:25 AM,Nakshatra - Punarvasu ,5:33 PM,Nakshatra - None,None,Yoga - Siddha ,10:28 PM,Yoga - None,None,Karana - Bava ,6:44 AM,Karana - Balava ,6:09 PM,Karana - Kaulava ,5:25 AM,
Tithi - Navami ,3:33 AM,Tithi - None,None,Nakshatra - Pushya ,4:40 PM,Nakshatra - None,None,Yoga - Sadhya ,7:57 PM,Yoga - None,None,Karana - Taitila ,4:33 PM,Karana - Garaja ,3:33 AM,Karana - None,None,
Tithi - Dashami ,1:09 AM,Tithi - None,None,Nakshatra - Ashlesha ,3:14 PM,Nakshatra - None,None,Yoga - Shubha ,4:59 PM,Yoga - None,None,Karana - Vanija ,2:25 PM,Karana - Vishti ,1:09 AM,Karana - None,None,
Tithi - Ekadashi ,10:19 PM,Tithi - None,None,Nakshatra - Magha ,1:19 PM,Nakshatra - None,None,Yoga - Shukla ,1:38 PM,Yoga - None,None,Karana - Bava ,11:47 AM,Karana - Balava ,10:19 PM,Karana - None,None,
Tithi - Dwadashi ,7:08 PM,Tithi - None,None,Nakshatra - Purva Phalguni ,11:01 AM,Nakshatra - None,None,Yoga - Brahma ,9:58 AM,Yoga - Indra ,6:05 AM,Karana - Kaulava ,8:45 AM,Karana - Taitila ,7:08 PM,Karana - Garaja ,5:28 AM,
Tithi - Trayodashi ,3:46 PM,Tithi - None,None,Nakshatra - Uttara Phalguni ,8:28 AM,Nakshatra - Hasta ,5:50 AM,Yoga - Vaidhriti ,2:07 AM,Yoga - None,None,Karana - Vanija ,3:46 PM,Karana - Vishti upto,2:04 AM,Karana - None,None,
Tithi - Chaturdashi ,12:23 PM,Tithi - None,None,Nakshatra - Chitra ,3:17 AM,Nakshatra - None,None,Yoga - Vishkambha ,10:12 PM,Yoga - None,None,Karana - Shakuni ,12:23 PM,Karana - Chatushpada ,10:44 PM,Karana - None,None,
Tithi - Amavasya ,9:08 AM,Tithi - Pratipada ,6:13 AM,Nakshatra - Swati ,1:01 AM,Nakshatra - None,None,Yoga - Priti ,6:28 PM,Yoga - None,None,Karana - Nagava,9:08 AM,Karana - Kinstughna ,7:38 PM,Karana - Bava ,6:13 AM,
Tithi - Dwitiya ,3:48 AM,Tithi - None,None,Nakshatra - Vishakha ,11:12 PM,Nakshatra - None,None,Yoga - Ayushman ,3:04 PM,Yoga - None,None,Karana - Balava ,4:56 PM,Karana - Kaulava ,3:48 AM,Karana - None,None,
Tithi - Tritiya ,2:01 AM,Tithi - None,None,Nakshatra - Anuradha ,10:00 PM,Nakshatra - None,None,Yoga - Saubhagya ,12:07 PM,Yoga - None,None,Karana - Taitila ,2:49 PM,Karana - Garaja upto,2:01 AM,Karana - None,None,
Tithi - Chaturthi ,1:01 AM,Tithi - None,None,Nakshatra - Jyeshtha ,9:32 PM,Nakshatra - None,None,Yoga - Shobhana ,9:44 AM,Yoga - None,None,Karana - Vanija ,1:25 PM,Karana - Vishti ,1:01 AM,Karana - None,None,
Tithi - Panchami ,12:51 AM,Tithi - None,None,Nakshatra - Mula ,9:53 PM,Nakshatra - None,None,Yoga - Atiganda ,7:59 AM,Yoga - None,None,Karana - Bava ,12:50 PM,Karana - Balava upto,12:51AM,Karana - None,None,
Tithi - Shashthi ,1:31 AM,Tithi - None,None,Nakshatra - Purva Ashadha ,11:02 PM,Nakshatra - None,None,Yoga - Sukarman ,6:53 AM,Yoga - Dhriti ,6:25 AM,Karana - Kaulava ,1:05 PM,Karana - Taitila ,1:31 AM,Karana - None,None,
Tithi - Saptami ,2:56 AM,Tithi - None,None,Nakshatra - Uttara Ashadha ,12:56 AM,Nakshatra - None,None,Yoga - Shula ,6:31 AM,Yoga - None,None,Karana - Garaja ,2:08 PM,Karana - Vanija ,2:56 AM,Karana - None,None,
Tithi - Ashtami ,4:57 AM,Tithi - None,None,Nakshatra - Shravana ,3:24 AM,Nakshatra - None,None,Yoga - Ganda ,Full Night,Yoga - None,None,Karana - Vishti ,3:53 PM,Karana - Bava ,4:57 AM,Karana - None,None,
Tithi - Navami ,Full Night,Tithi - None,None,Nakshatra - Dhanishtha ,6:16 AM,Nakshatra - None,None,Yoga - Ganda ,7:02 AM,Yoga - None,None,Karana - Balava ,6:07 PM,Karana - Kaulava ,Full Night,Karana - None,None,
Tithi - Navami ,7:21 AM,Tithi - None,None,Nakshatra - Shatabhisha ,Full Night,Nakshatra - None,None,Yoga - Vriddhi ,7:50 AM,Yoga - None,None,Karana - Kaulava ,7:21 AM,Karana - Taitila ,8:38 PM,Karana - None,None,
Tithi - Dashami ,9:55 AM,Tithi - None,None,Nakshatra - Shatabhisha ,9:16 AM,Nakshatra - None,None,Yoga - Dhruva ,8:44 AM,Yoga - None,None,Karana - Garaja ,9:55 AM,Karana - Vanija ,11:11 PM,Karana - None,None,
Tithi - Ekadashi ,12:24 PM,Tithi - None,None,Nakshatra - Purva Bhadrapada ,12:13 PM,Nakshatra - None,None,Yoga - Vyaghata ,9:35 AM,Yoga - None,None,Karana - Vishti ,12:24 PM,Karana - Bava ,1:34 AM,Karana - None,None,
Tithi - Dwadashi ,2:39 PM,Tithi - None,None,Nakshatra - Uttara Bhadrapada ,2:57 PM,Nakshatra - None,None,Yoga - Harshana ,10:17 AM,Yoga - None,None,Karana - Balava ,2:39 PM,Karana - Kaulava ,3:39 AM,Karana - None,None,
Tithi - Trayodashi ,4:33 PM,Tithi - None,None,Nakshatra - Revati ,5:20 PM,Nakshatra - None,None,Yoga - Vajra ,10:43 AM,Yoga - None,None,Karana - Taitila ,4:33 PM,Karana - Garaja ,5:21 AM,Karana - None,None,
Tithi - Chaturdashi ,6:02 PM,Tithi - None,None,Nakshatra - Ashwini ,7:18 PM,Nakshatra - None,None,Yoga - Siddhi ,10:50 AM,Yoga - None,None,Karana - Vanija ,6:02 PM,Karana - Vishti ,6:36 AM,Karana - None,None,
Tithi - Purnima ,7:04 PM,Tithi - None,None,Nakshatra - Bharani ,8:52 PM,Nakshatra - None,None,Yoga - Vyatipata,10:38 AM,Yoga - None,None,Karana - Bava ,7:04 PM,Karana - Balava ,Full Night,Karana - None,None,
Tithi - Pratipada ,7:42 PM,Tithi - None,None,Nakshatra - Krittika ,10:02 PM,Nakshatra - None,None,Yoga - Varigha ,10:06 AM,Yoga - None,None,Karana - Balava ,7:26 AM,Karana - Kaulava ,7:42 PM,Karana - None,None,
Tithi - Dwitiya ,7:55 PM,Tithi - None,None,Nakshatra - Rohini ,10:48 PM,Nakshatra - None,None,Yoga - Parigha ,9:15 AM,Yoga - None,None,Karana - Taitila ,7:51 AM,Karana - Garaja ,7:55 PM,Karana - None,None,
Tithi - Tritiya ,7:46 PM,Tithi - None,None,Nakshatra - Mrigashirsha ,11:13 PM,Nakshatra - None,None,Yoga - Shiva ,8:06 AM,Yoga - Siddha ,6:40 AM,Karana - Vanija ,7:53 AM,Karana - Vishti ,7:46 PM,Karana - None,None,
Tithi - Chaturthi ,7:15 PM,Tithi - None,None,Nakshatra - Ardra ,11:17 PM,Nakshatra - None,None,Yoga - Sadhya ,4:57 AM,Yoga - None,None,Karana - Bava ,7:33 AM,Karana - Balava ,7:15 PM,Karana - None,None,
Tithi - Panchami ,6:23 PM,Tithi - None,None,Nakshatra - Punarvasu ,11:00 PM,Nakshatra - None,None,Yoga - Shubha ,2:58 AM,Yoga - None,None,Karana - Kaulava ,6:52 AM,Karana - Taitila,6:23 PM,Karana - Garaja ,5:49 AM,
Tithi - Shashthi ,5:10 PM,Tithi - None,None,Nakshatra - Pushya ,10:22 PM,Nakshatra - None,None,Yoga - Shukla ,12:41 AM,Yoga - None,None,Karana - Vanija ,5:10 PM,"Karana - Vishti upto0""",4:25 AM,Karana - None,None,
Tithi - Saptami ,3:35 PM,Tithi - None,None,Nakshatra - Ashlesha ,9:23 PM,Nakshatra - None,None,Yoga - Brahma ,10:08 PM,Yoga - None,None,Karana - Bava ,3:35 PM,Karana - Balava ,2:41 AM,Karana - None,None,
Tithi - Ashtami ,1:41 PM,Tithi - None,None,Nakshatra - Magha ,8:05 PM,Nakshatra - None,None,Yoga - Indra ,7:19 PM,Yoga - None,None,Karana - Kaulava ,1:41 PM,"Karana - Taitila upto1""",2:37 AM,Karana - None,None,
Tithi - Navami ,11:29 AM,Tithi - None,None,Nakshatra - Purva Phalguni ,6:30 PM,Nakshatra - None,None,Yoga - Vaidhriti ,4:16 PM,Yoga - None,None,Karana - Garaja ,11:29 AM,Karana - Vanija ,10:16 PM,Karana - None,None,
Tithi - Dashami ,9:01 AM,Tithi - Ekadashi ,6:24 AM,Nakshatra - Uttara Phalguni ,4:42 PM,Nakshatra - None,None,Yoga - Vishkambha ,1:02 PM,Yoga - None,None,Karana - Vishti ,9:01 AM,Karana - Bava ,7:43 PM,Karana - Balava ,6:24 AM,
Tithi - Dwadashi ,3:43 AM,Tithi - None,None,Nakshatra - Hasta ,2:46 PM,Nakshatra - None,None,Yoga - Priti ,9:40 AM,Yoga - Ayushman ,6:16 AM,Karana - Kaulava ,5:04 PM,Karana - Taitila ,3:43 AM,Karana - None,None,
Tithi - Trayodashi ,1:06 AM,Tithi - None,None,Nakshatra - Chitra ,12:48PM,Nakshatra - None,None,Yoga - Saubhagya ,2:56 AM,Yoga - None,None,Karana - Garaja ,2:23 PM,Karana - Vanija ,1:06 AM,Karana - None,None,
Tithi - Chaturdashi ,10:40 PM,Tithi - None,None,Nakshatra - Swati ,10:58 AM,Nakshatra - None,None,Yoga - Shobhana ,11:46 PM,Yoga - None,None,Karana - Vishti ,11:51 AM,Karana - Shakuni,10:40 PM,Karana - None,None,
Tithi - Amavasya ,8:35 PM,Tithi - None,None,Nakshatra - Vishakha ,9:24 AM,Nakshatra - None,None,Yoga - Atiganda ,8:53 PM,Yoga - None,None,Karana - Chatushpada ,9:35 AM,Karana - Nagava ,8:35 PM,Karana - None,None,
Tithi - Pratipada ,6:59 PM,Tithi - None,None,Nakshatra - Anuradha ,8:13 AM,Nakshatra - None,None,Yoga - Sukarman ,6:23 PM,Yoga - None,None,Karana - Kinstughna ,7:43 AM,Karana - Bava ,6:59 PM,Karana - Balava ,6:24 AM,
Tithi - Dwitiya ,5:59 PM,Tithi - None,None,Nakshatra - Jyeshtha ,7:35 AM,Nakshatra - None,None,Yoga - Dhriti ,4:20 PM,Yoga - None,None,Karana - Kaulava ,5:59 PM,Karana - Taitila ,5:44 AM,Karana - None,None,
Tithi - Tritiya ,5:40 PM,Tithi - None,None,Nakshatra - Mula ,7:35 AM,Nakshatra - None,None,Yoga - Shula,2:51 PM,Yoga - None,None,Karana - Garaja ,5:40 PM,Karana - Vanija ,5:47 AM,Karana - None,None,
Tithi - Chaturthi ,6:05 PM,Tithi - None,None,Nakshatra - Purva Ashadha ,8:17 AM,Nakshatra - None,None,Yoga - Ganda ,1:55 PM,Yoga - None,None,Karana - Vishti ,6:05 PM,Karana - Bava ,6:34 AM,Karana - None,None,
Tithi - Panchami ,7:13 PM,Tithi - None,None,Nakshatra - Uttara Ashadha ,9:41 AM,Nakshatra - None,None,Yoga - Vriddhi ,1:32 PM,Yoga - None,None,Karana - Balava ,7:13 PM,Karana - Kaulava,Full Night,Karana - None,None,
Tithi - Shashthi ,8:59 PM,Tithi - None,None,Nakshatra - Shravana ,11:44 AM,Nakshatra - None,None,Yoga - Dhruva ,1:39 PM,Yoga - None,None,Karana - Kaulava ,8:02 AM,Karana - Taitila ,8:59 PM,Karana - None,None,
Tithi - Saptami ,11:14 PM,Tithi - None,None,Nakshatra - Dhanishtha ,2:18 PM,Nakshatra - None,None,Yoga - Vyaghata ,2:10 PM,Yoga - None,None,Karana - Garaja ,10:04 AM,Karana -Vanija ,11:14 PM,Karana - None,None,
Tithi - Ashtami ,1:44 AM,Tithi - None,None,Nakshatra - Shatabhisha ,5:10 PM,Nakshatra - None,None,Yoga - Harshana ,2:55 PM,Yoga - None,None,Karana - Vishti ,12:28 PM,Karana - Bava ,1:44 AM,Karana - None,None,
Tithi - Navami ,4:15 AM,Tithi - None,None,Nakshatra - Purva Bhadrapada ,8:08 PM,Nakshatra - None,None,Yoga - Vajra ,3:46 PM,Yoga - None,None,Karana - Balava ,3:00 PM,Karana - Kaulava ,4:15 AM,Karana - None,None,
Tithi - Dashami ,6:34 AM,Tithi - None,None,Nakshatra - Uttara Bhadrapada ,10:58 PM,Nakshatra - None,None,Yoga - Siddhi ,4:32 PM,Yoga - None,None,Karana - Taitila ,5:27 PM,Karana - Garaja ,6:34 AM,Karana - None,None,
Tithi - Ekadashi ,Full Night,Tithi - None,None,Nakshatra - Revati ,1:29 AM,Nakshatra - None,None,Yoga - Vyatipata ,5:05 PM,Yoga - None,None,Karana - Vanija ,7:35 PM,Karana - Vishti ,Full Night,Karana - None,None,
Tithi - Ekadashi ,8:29 AM,Tithi - None,None,Nakshatra - Ashwini ,3:31 AM,Nakshatra - None,None,Yoga - Varigha ,5:18 PM,Yoga - None,None,Karana - Vishti ,8:29 AM,Karana - Bava ,9:16 PM,Karana - None,None,
Tithi - Dwadashi ,9:54 AM,Tithi - None,None,Nakshatra - Bharani ,5:02 AM,Nakshatra - None,None,Yoga - Parigha ,5:05 PM,Yoga - None,None,Karana - Balava ,9:54 AM,Karana - Kaulava ,10:23 PM,Karana - None,None,
Tithi - Trayodashi ,10:44 AM,Tithi - None,None,Nakshatra - Krittika ,5:58 AM,Nakshatra - None,None,Yoga - Shiva ,4:27 PM,Yoga - None,None,Karana - Taitila ,10:44 AM,Karana - Garaja ,10:56 PM,Karana - None,None,
Tithi - Chaturdashi ,10:59 AM,Tithi - None,None,Nakshatra - Rohini ,6:23 AM,Nakshatra - None,None,Yoga - Siddha ,3:22 PM,Yoga - None,None,Karana - Vanija ,10:59 AM,Karana - Vishti ,10:54 PM,Karana - None,None,
Tithi - Purnima ,10:42 AM,Tithi - None,None,Nakshatra - Mrigashirsha ,6:19 AM,Nakshatra - None,None,Yoga - Sadhya ,1:52 PM,Yoga - None,None,Karana - Bava ,10:42 AM,Karana - Balava ,10:23 PM,Karana - None,None,
Tithi - Pratipada ,9:57 AM,Tithi - None,None,Nakshatra - Ardra ,5:51 AM,Nakshatra - None,None,Yoga - Shubha ,12:01 PM,Yoga - None,None,Karana - Kaulava ,9:57 AM,Karana - Taitila ,9:24 PM,Karana - None,None,
Tithi - Dwitiya ,8:47 AM,Tithi - None,None,Nakshatra - Punarvasu ,5:04 AM,Nakshatra - None,None,Yoga - Shukla ,9:51 AM,Yoga - None,None,Karana - Garaja ,8:47 AM,Karana - Vanija ,8:05 PM,Karana - None,None,
Tithi - Tritiya ,7:18 AM,Tithi - Chaturthi ,5:34 AM,Nakshatra - Pushya ,4:02 AM,Nakshatra - None,None,Yoga - Brahma ,7:26 AM,Yoga - Indra ,4:49 AM,Karana - Vishti ,7:18 AM,Karana - Bava ,6:28 PM,Karana - Balava ,5:34 AM,
Tithi - Panchami ,3:40 AM,Tithi - None,None,Nakshatra - Ashlesha ,2:48 AM,Nakshatra - None,None,Yoga - Vaidhriti ,2:03 AM,Yoga - None,None,Karana - Kaulava ,4:38 PM,Karana - Taitila ,3:40 AM,Karana - None,None,
Tithi - Shashthi ,1:38 AM,Tithi - None,None,Nakshatra - Magha ,1:27 AM,Nakshatra - None,None,Yoga - Vishkambha ,11:11 PM,Yoga - None,None,Karana - Garaja ,2:39 PM,Karana - Vanija ,1:38 AM,Karana - None,None,
Tithi - Saptami ,11:31 PM,Tithi - None,None,Nakshatra - Purva Phalguni ,12:01 AM,Nakshatra - None,None,Yoga - Priti ,8:15 PM,Yoga - None,None,Karana - Vishti ,12:35 PM,Karana - Bava ,11:31 PM,Karana - None,None,
Tithi - Ashtami ,9:23 PM,Tithi - None,None,Nakshatra - Uttara Phalguni ,10:35 PM,Nakshatra - None,None,Yoga - Ayushman ,5:18 PM,Yoga - None,None,Karana - Balava ,10:27 AM,Karana - Kaulava ,9:23 PM,Karana - None,None,
Tithi - Navami ,7:17 PM,Tithi - None,None,Nakshatra - Hasta ,9:10 PM,Nakshatra - None,None,Yoga - Saubhagya ,2:21 PM,Yoga - None,None,Karana - Taitila ,8:19 AM,Karana - Garaja ,7:17 PM,Karana - Vanija ,6:15 AM,
Tithi - Dashami ,5:15 PM,Tithi - None,None,Nakshatra - Chitra ,7:50 PM,Nakshatra - None,None,Yoga - Shobhana ,11:28 AM,Yoga - None,None,Karana - Vishti ,5:15 PM,Karana - Bava ,4:17 AM,Karana - None,None,
Tithi - Ekadashi ,3:22 PM,Tithi - None,None,Nakshatra - Swati ,6:39 PM,Nakshatra - None,None,Yoga - Atiganda ,8:41 AM,Yoga - Sukarman ,6:03 AM,Karana - Balava ,3:22 PM,Karana - Kaulava ,2:30 AM,Karana - None,None,
Tithi - Dwadashi ,1:42 PM,Tithi - None,None,Nakshatra - Vishakha ,5:40 PM,Nakshatra - None,None,Yoga - Dhriti ,3:37 AM,Yoga - None,None,Karana - Taitila ,1:42 PM,Karana - Garaja ,12:58 AM,Karana - None,None,
Tithi - Trayodashi ,12:19 PM,Tithi - None,None,Nakshatra - Anuradha ,5:00 PM,Nakshatra - None,None,Yoga - Shula ,1:26 AM,Yoga - None,None,Karana - Vanija ,12:19 PM,Karana - Vishti ,11:45 PM,Karana - None,None,
Tithi - Chaturdashi ,11:17 AM,Tithi - None,None,Nakshatra - Jyeshtha ,4:42 PM,Nakshatra - None,None,Yoga - Ganda ,11:36 PM,Yoga - None,None,Karana - Shakuni ,11:17 AM,Karana - Chatushpada ,10:57 PM,Karana - None,None,
Tithi - Amavasya ,10:43 AM,Tithi - None,None,Nakshatra - Mula ,4:51 PM,Nakshatra - None,None,Yoga - Vriddhi ,10:08 PM,Yoga - None,None,Karana - Nagava ,10:43 AM,Karana - Kinstughna ,10:37 PM,Karana - None,None,
Tithi - Pratipada ,10:39 AM,Tithi - None,None,Nakshatra - Purva Ashadha ,5:31 PM,Nakshatra - None,None,Yoga - Dhruva,9:05 PM,Yoga - None,None,Karana - Bava ,10:39 AM,Karana - Balava ,10:50 PM,Karana - None,None,
Tithi - Dwitiya ,11:10 AM,Tithi - None,None,Nakshatra - Uttara Ashadha ,6:44 PM,Nakshatra - None,None,Yoga - Vyaghata,8:28 PM,Yoga - None,None,Karana - Kaulava ,11:10 AM,Karana - Taitila ,11:38 PM,Karana - None,None,
Tithi - Tritiya ,12:16 PM,Tithi - None,None,Nakshatra - Shravana ,8:31 PM,Nakshatra - None,None,Yoga - Harshana ,8:18 PM,Yoga - None,None,Karana - Garaja ,12:16 PM,Karana - Vanija ,1:01 AM,Karana - None,None,
Tithi - Chaturthi ,1:55 PM,Tithi - None,None,Nakshatra - Dhanishtha ,10:48 PM,Nakshatra - None,None,Yoga - Vajra ,8:33 PM,Yoga - None,None,Karana - Vishti ,1:55 PM,Karana - Bava ,2:55 AM,Karana - None,None,
Tithi - Panchami ,4:01 PM,Tithi - None,None,Nakshatra - Shatabhisha ,1:29 AM,Nakshatra - None,None,Yoga -Siddhi ,9:06 PM,Yoga - None,None,Karana - Balava ,4:01 PM,Karana - Kaulava ,5:13 AM,Karana - None,None,